schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,user_deletion_logs,Admin read all deletion logs,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM admins
  WHERE ((admins.admin_id = auth.uid()) AND (admins.is_active = true))))",null
public,user_deletion_logs,No direct insert to deletion logs,PERMISSIVE,{public},INSERT,null,false
public,user_deletion_logs,User can read own deletion logs,PERMISSIVE,{public},SELECT,(user_id = auth.uid()),null
public,user_subscriptions,Users can insert own subscriptions,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,user_subscriptions,Users can update own subscriptions,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),(auth.uid() = user_id)
public,user_subscriptions,Users can view own subscriptions,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,user_subscriptions,user_subscriptions_admin_full_access,PERMISSIVE,{public},ALL,is_admin(),null
public,user_subscriptions,user_subscriptions_insert_own,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,user_subscriptions,user_subscriptions_select_own,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,user_subscriptions,user_subscriptions_update_own,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),null
public,users,Anyone can insert users,PERMISSIVE,{public},INSERT,null,true
public,users,Service role can access all users,PERMISSIVE,{service_role},ALL,true,true
public,users,Users can update their own data,PERMISSIVE,{public},UPDATE,((auth.uid() = user_id) AND (is_deleted = false)),null
public,users,Users can view their own data,PERMISSIVE,{public},SELECT,((auth.uid() = user_id) AND (is_deleted = false)),null
public,users,users_admin_full_access,PERMISSIVE,{public},ALL,is_admin(),null
public,users,users_insert_self,PERMISSIVE,{public},INSERT,null,(user_id = auth.uid())
public,users,users_no_delete,PERMISSIVE,{public},DELETE,false,null
public,users,users_select_own,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,users,users_select_self,PERMISSIVE,{public},SELECT,((user_id = auth.uid()) AND (is_deleted = false)),null
public,users,users_update_own,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),null
public,users,users_update_self,PERMISSIVE,{public},UPDATE,((user_id = auth.uid()) AND (is_deleted = false)),((user_id = auth.uid()) AND (is_deleted = false))
